Sample_ID,H2S_Concentration_ppm,Exposure_Time_h,Target_Dose_ppm_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,Sensor_Chemistry,Visual_Stage,L_star,a_star,b_star,Delta_E_CIE76,Prototype_Severity_Class,Data_Status,Data_Origin,Underlying_Model,Literature_Anchor,Synthetic_Flag
CP-112,1.25,0.75,0.938,20.2,58.5,50,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),51.3,38.9,4.3,31.22,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-113,0.63,1.16,0.731,18.2,47.1,29,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.3,35.7,-3.3,22.83,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-114,0.27,5.24,1.415,23.5,59.9,47,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.3,38.7,15.6,43.10,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-115,0.32,2.90,0.928,40.1,75.1,75,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.5,40.0,10.1,37.71,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-116,0.99,1.13,1.119,23.3,71.0,11,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.5,38.9,10.6,37.75,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-117,0.39,1.58,0.616,26.4,68.4,84,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.3,35.6,-3.6,22.54,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-118,0.60,0.81,0.486,36.5,56.7,74,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.1,32.9,-7.5,17.77,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-119,0.28,5.25,1.470,28.8,34.8,38,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.9,38.5,14.0,41.49,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-120,0.93,1.33,1.237,31.3,71.6,7,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.8,38.8,15.6,42.93,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-121,0.98,1.45,1.421,39.6,49.2,12,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.9,38.1,17.8,45.09,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-122,1.27,0.79,1.003,21.8,50.6,38,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.2,39.4,4.6,32.38,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-123,1.11,1.28,1.421,25.9,59.9,51,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.5,39.2,16.2,43.47,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-124,0.69,1.20,0.828,32.3,78.9,41,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.9,39.5,4.8,32.47,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-125,0.45,1.68,0.756,41.9,77.6,13,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.2,39.3,4.2,32.01,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-126,0.40,1.49,0.596,19.9,74.2,14,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.5,34.7,-5.7,20.55,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-127,0.38,1.88,0.714,39.7,68.1,7,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),51.6,38.4,2.6,29.70,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-128,0.28,1.73,0.484,38.3,74.6,38,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.9,34.2,-5.7,20.09,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-129,0.38,2.08,0.790,35.2,48.8,20,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.2,38.2,2.6,29.85,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-130,0.35,1.81,0.633,28.8,32.3,12,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.4,33.8,-6.8,19.26,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-131,1.13,0.59,0.667,19.5,73.8,65,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.8,36.4,-2.3,24.14,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-132,0.18,5.30,0.954,32.8,44.0,55,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.6,40.1,5.7,33.73,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-133,0.70,0.74,0.518,27.0,69.4,47,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),47.8,33.5,-6.4,18.79,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-134,0.45,1.24,0.558,29.2,66.8,82,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),49.9,34.7,-6.4,20.18,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-135,0.21,4.06,0.853,18.9,42.1,27,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),50.7,38.3,0.0,27.19,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-136,1.35,0.93,1.256,24.6,72.0,57,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.6,38.5,13.6,41.02,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-137,0.69,2.13,1.470,31.1,48.1,12,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.8,38.3,17.4,44.38,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-138,0.24,4.19,1.006,28.7,68.3,47,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.9,39.5,9.3,37.00,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-139,0.39,3.84,1.498,36.0,40.0,5,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.7,37.8,18.6,45.64,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-140,0.88,0.92,0.810,26.8,51.1,74,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),51.8,38.6,1.4,28.88,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-141,0.64,1.37,0.877,25.5,45.9,16,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),51.7,38.1,2.2,29.28,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-142,0.26,2.69,0.699,23.4,81.3,19,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),51.5,37.8,-0.6,26.80,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-143,1.65,0.80,1.320,27.9,52.5,75,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.5,39.3,14.2,41.75,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-144,1.06,1.19,1.261,35.0,49.3,68,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.7,38.9,14.7,42.14,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-145,1.51,0.66,0.997,30.1,40.4,76,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.8,39.9,4.8,32.99,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-146,0.20,5.39,1.078,36.4,52.8,83,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.8,39.3,10.5,37.92,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-147,0.64,0.90,0.576,25.3,44.2,53,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.8,33.4,-7.9,17.96,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-148,0.59,1.86,1.097,32.6,47.6,42,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.7,40.2,9.8,37.61,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-149,0.97,1.00,0.970,27.2,62.8,33,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.3,40.2,7.0,34.73,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-150,0.27,3.27,0.883,19.2,46.1,78,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.0,38.2,0.2,27.82,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-151,1.90,0.80,1.520,41.7,66.0,18,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),61.0,35.5,24.5,51.70,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-152,2.91,0.70,2.037,21.6,76.7,20,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),62.5,31.6,31.2,57.84,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-153,1.95,2.03,3.958,36.8,70.8,76,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),69.9,25.5,47.9,75.83,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-154,1.23,2.94,3.616,35.5,67.3,69,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.7,25.2,48.4,76.61,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-155,1.54,2.67,4.112,25.5,40.7,71,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.7,26.1,48.8,76.97,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-156,0.65,7.66,4.979,40.4,71.8,38,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.9,26.3,49.6,77.79,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-157,2.73,0.89,2.430,33.7,69.4,30,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),66.6,29.0,41.8,69.00,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-158,3.68,1.17,4.306,18.1,59.5,23,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),71.0,25.1,48.7,77.00,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-159,3.77,0.77,2.903,35.4,78.8,25,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.7,25.1,48.8,76.98,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-160,0.53,4.76,2.523,38.9,46.5,7,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),67.5,29.9,41.1,68.74,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-161,0.97,4.28,4.152,24.8,81.5,72,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.4,26.2,48.6,76.67,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-162,2.30,1.15,2.645,33.6,67.9,4,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),69.0,27.5,43.5,71.45,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-163,0.52,3.38,1.758,21.4,48.2,34,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),58.2,37.1,19.7,46.64,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-164,2.92,0.97,2.832,31.7,45.1,49,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),68.0,28.7,42.0,69.71,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-165,3.71,1.34,4.971,27.7,57.1,42,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),71.0,24.7,49.2,77.47,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-166,0.91,2.04,1.856,21.9,74.7,59,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),61.9,34.1,26.8,53.90,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-167,0.96,3.62,3.475,30.2,72.4,61,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),70.0,25.3,48.8,76.70,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
CP-168,0.66,3.08,2.033,18.5,44.7,3,Ag/Cu Dual-Zone,Stage 4: Elevated Exposure (Orange-Red to Amber-Orange),59.5,36.9,23.8,50.77,REVIEW,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Thongboon et al. 2023 (Orange-red displacement),TRUE (MODELED DATA)
